2000, 40099, 1, 0
4000, 27240, 1, 0
6000, 17064, 1, 0
8000, 14449, 1, 0
10000, 15728, 1, 0
12000, 16942, 1, 0
14000, 16687, 1, 0
16000, 14578, 1, 0
18000, 14227, 1, 0
20000, 15643, 1, 0
22000, 17279, 1, 0
24000, 15522, 1, 0
26000, 15564, 1, 0
28000, 20089, 1, 0
30000, 16421, 1, 0
32000, 15309, 1, 0
34000, 15256, 1, 0
36000, 17380, 1, 0
38000, 16236, 1, 0
40000, 18642, 1, 0
42000, 15823, 1, 0
44000, 15755, 1, 0
46000, 17796, 1, 0
48000, 15189, 1, 0
50000, 15205, 1, 0
52000, 16377, 1, 0
54000, 17637, 1, 0
56000, 16005, 1, 0
58000, 14730, 1, 0
60000, 16550, 1, 0
62000, 15341, 1, 0
64000, 19017, 1, 0
66000, 13967, 1, 0
68000, 18575, 1, 0
70000, 17144, 1, 0
72000, 15342, 1, 0
74000, 17712, 1, 0
76000, 15108, 1, 0
78000, 17068, 1, 0
80000, 15904, 1, 0
82000, 14775, 1, 0
84000, 16479, 1, 0
86000, 15263, 1, 0
88000, 16523, 1, 0
90000, 16800, 1, 0
92000, 14729, 1, 0
94000, 15164, 1, 0
96000, 15712, 1, 0
98000, 15531, 1, 0
100000, 15716, 1, 0
102000, 20561, 1, 0
104000, 15765, 1, 0
106000, 18419, 1, 0
108001, 16478, 1, 0
110000, 13526, 1, 0
112001, 18649, 1, 0
114000, 16436, 1, 0
116001, 16692, 1, 0
118000, 14683, 1, 0
120001, 17060, 1, 0
122001, 14426, 1, 0
124001, 17101, 1, 0
126001, 16273, 1, 0
128001, 14728, 1, 0
130000, 16529, 1, 0
132000, 16117, 1, 0
134000, 15283, 1, 0
136001, 17238, 1, 0
138001, 17114, 1, 0
140001, 17254, 1, 0
142001, 15371, 1, 0
144000, 15102, 1, 0
146000, 13601, 1, 0
148000, 16865, 1, 0
150000, 14507, 1, 0
152000, 14667, 1, 0
154000, 15675, 1, 0
156000, 15441, 1, 0
158000, 14550, 1, 0
160000, 15096, 1, 0
162000, 14396, 1, 0
164000, 15246, 1, 0
166000, 16311, 1, 0
168000, 15996, 1, 0
170000, 13256, 1, 0
172000, 15742, 1, 0
174000, 14467, 1, 0
176000, 13752, 1, 0
178000, 13966, 1, 0
180000, 15894, 1, 0
182000, 13650, 1, 0
184000, 13719, 1, 0
186000, 14551, 1, 0
188000, 12338, 1, 0
190000, 13866, 1, 0
192000, 15063, 1, 0
194000, 12857, 1, 0
196000, 14514, 1, 0
198000, 15166, 1, 0
200000, 13738, 1, 0
202000, 13512, 1, 0
204000, 15959, 1, 0
206000, 13351, 1, 0
208000, 13342, 1, 0
210000, 16571, 1, 0
212000, 13018, 1, 0
214000, 12807, 1, 0
216000, 14694, 1, 0
218001, 12654, 1, 0
220000, 15397, 1, 0
222000, 15831, 1, 0
224000, 14007, 1, 0
226000, 13770, 1, 0
228000, 15185, 1, 0
230000, 13923, 1, 0
232001, 11206, 1, 0
234000, 17440, 1, 0
236000, 12953, 1, 0
238000, 14566, 1, 0
240001, 16119, 1, 0
242001, 13287, 1, 0
244001, 12631, 1, 0
246001, 15916, 1, 0
248000, 12038, 1, 0
250001, 15918, 1, 0
252000, 15321, 1, 0
254001, 13725, 1, 0
256000, 13124, 1, 0
258000, 16261, 1, 0
260001, 13474, 1, 0
262000, 13315, 1, 0
264000, 15298, 1, 0
266000, 12745, 1, 0
268000, 15019, 1, 0
270000, 15995, 1, 0
272000, 12581, 1, 0
274000, 14112, 1, 0
276000, 15661, 1, 0
278000, 13400, 1, 0
280000, 13515, 1, 0
282000, 15434, 1, 0
284000, 13337, 1, 0
286000, 14475, 1, 0
288000, 15891, 1, 0
290000, 12969, 1, 0
292000, 11632, 1, 0
294000, 16228, 1, 0
296000, 14109, 1, 0
298000, 15628, 1, 0
300000, 15683, 1, 0
302000, 12886, 1, 0
304000, 12409, 1, 0
306000, 15117, 1, 0
308000, 13447, 1, 0
